,error
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20460101-20501231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20460101-20501231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19910101-19951231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19910101-19951231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20360101-20401231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20360101-20401231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19560101-19601231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19560101-19601231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20310101-20351231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20310101-20351231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19510101-19551231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19510101-19551231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20860101-20901231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20860101-20901231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20660101-20701231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20660101-20701231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19760101-19801231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19760101-19801231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20160101-20201231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20160101-20201231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20510101-20551231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20510101-20551231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20610101-20651231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20610101-20651231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20960101-21001231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20960101-21001231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20060101-20101231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20060101-20101231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20810101-20851231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20810101-20851231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20760101-20801231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20760101-20801231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20260101-20301231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20260101-20301231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20910101-20951231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20910101-20951231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20560101-20601231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20560101-20601231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20410101-20451231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20410101-20451231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20710101-20751231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20710101-20751231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20460101-20501231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20460101-20501231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20360101-20401231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20360101-20401231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20210101-20251231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20210101-20251231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20110101-20151231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20110101-20151231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_20010101-20051231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_20010101-20051231.nc'
